,index,Season,Date,Time,Stadium,Team1,Team1_Pitcher,T,Result,Team2,Team2_Pitcher,T2,Win_Pit,Lose_Pit,Save,Audience,GameResult,Year,Month,Day,Game_idx,dummy_win,dummy_lose,dummy_draw
0,32305,정규,2001-04-05,,@잠실,KIA,,,L 5:6,두산,,,,,,,L,2001,04,05,1,0,1,0
1,32306,정규,2001-04-06,,@잠실,KIA,,,L 2:8,두산,,,,,,,L,2001,04,06,2,0,1,0
2,33913,정규,2001-04-07,,광주,KIA,,,W 5:4,현대,,,,,,,W,2001,04,07,3,1,0,0
3,33914,정규,2001-04-08,,광주,KIA,,,W 6:4,현대,,,,,,,W,2001,04,08,4,1,0,0
4,32675,정규,2001-04-10,,광주,KIA,,,W 4:3,롯데,,,,,,,W,2001,04,10,5,1,0,0
5,32676,정규,2001-04-11,,광주,KIA,,,L 1:4,롯데,,,,,,,L,2001,04,11,6,0,1,0
6,32677,정규,2001-04-12,,광주,KIA,,,W 7:6,롯데,,,,,,,W,2001,04,12,7,1,0,0
7,33798,정규,2001-04-13,,@청주,KIA,,,L 6:9,한화,,,,,,,L,2001,04,13,8,0,1,0
8,33799,정규,2001-04-14,,@청주,KIA,,,L 3:5,한화,,,,,,,L,2001,04,14,9,0,1,0
9,33800,정규,2001-04-15,,@청주,KIA,,,W 5:0,한화,,,,,,,W,2001,04,15,10,1,0,0
10,32253,정규,2001-04-17,,광주,KIA,,,W 3:1,SK,,,,,,,W,2001,04,17,11,1,0,0
11,32254,정규,2001-04-18,,광주,KIA,,,L 2:11,SK,,,,,,,L,2001,04,18,12,0,1,0
12,32255,정규,2001-04-19,,광주,KIA,,,L 4:6,SK,,,,,,,L,2001,04,19,13,0,1,0
13,31739,정규,2001-04-20,,@잠실,KIA,,,L 4:17,LG,,,,,,,L,2001,04,20,14,0,1,0
14,31740,정규,2001-04-21,,@잠실,KIA,,,W 7:3,LG,,,,,,,W,2001,04,21,15,1,0,0
15,31741,정규,2001-04-22,,@잠실,KIA,,,W 10:6,LG,,,,,,,W,2001,04,22,16,1,0,0
16,824,정규,2001-04-24,,광주,KIA,,,D 10:10,두산,,,,,,,D,2001,04,24,17,0,0,1
17,825,정규,2001-04-25,,광주,KIA,,,L 2:3,두산,,,,,,,L,2001,04,25,18,0,1,0
18,826,정규,2001-04-26,,광주,KIA,,,L 4:5,두산,,,,,,,L,2001,04,26,19,0,1,0
19,32678,정규,2001-04-27,,@마산,KIA,,,W 2:1,롯데,,,,,,,W,2001,04,27,20,1,0,0
20,32679,정규,2001-04-28,,@마산,KIA,,,L 1:5,롯데,,,,,,,L,2001,04,28,21,0,1,0
21,33801,정규,2001-05-01,,광주,KIA,,,L 2:4,한화,,,,,,,L,2001,05,01,22,0,1,0
22,33802,정규,2001-05-02,,광주,KIA,,,W 8:0,한화,,,,,,,W,2001,05,02,23,1,0,0
23,33803,정규,2001-05-03,,광주,KIA,,,L 2:10,한화,,,,,,,L,2001,05,03,24,0,1,0
24,32256,정규,2001-05-04,,@인천,KIA,,,L 2:8,SK,,,,,,,L,2001,05,04,25,0,1,0
25,32257,정규,2001-05-05,,@인천,KIA,,,W 10:7,SK,,,,,,,W,2001,05,05,26,1,0,0
26,32258,정규,2001-05-06,,@인천,KIA,,,W 5:4,SK,,,,,,,W,2001,05,06,27,1,0,0
27,33294,정규,2001-05-08,,광주,KIA,,,W 11:5,삼성,,,,,,,W,2001,05,08,28,1,0,0
28,33295,정규,2001-05-09,,광주,KIA,,,W 8:2,삼성,,,,,,,W,2001,05,09,29,1,0,0
29,33296,정규,2001-05-10,,광주,KIA,,,W 4:0,삼성,,,,,,,W,2001,05,10,30,1,0,0
30,33915,정규,2001-05-11,,@수원,KIA,,,L 1:4,현대,,,,,,,L,2001,05,11,31,0,1,0
31,33916,정규,2001-05-12,,@수원,KIA,,,W 7:4,현대,,,,,,,W,2001,05,12,32,1,0,0
32,33917,정규,2001-05-13,,@수원,KIA,,,L 3:4,현대,,,,,,,L,2001,05,13,33,0,1,0
33,32259,정규,2001-05-15,,광주,KIA,,,L 2:7,SK,,,,,,,L,2001,05,15,34,0,1,0
34,32260,정규,2001-05-16,,광주,KIA,,,W 6:1,SK,,,,,,,W,2001,05,16,35,1,0,0
35,32261,정규,2001-05-17,,광주,KIA,,,W 3:2,SK,,,,,,,W,2001,05,17,36,1,0,0
36,31742,정규,2001-05-18,,광주,KIA,,,L 2:4,LG,,,,,,,L,2001,05,18,37,0,1,0
37,31743,정규,2001-05-19,,광주,KIA,,,W 13:9,LG,,,,,,,W,2001,05,19,38,1,0,0
38,31744,정규,2001-05-20,,광주,KIA,,,W 8:3,LG,,,,,,,W,2001,05,20,39,1,0,0
39,32680,정규,2001-05-22,,@사직,KIA,,,L 2:8,롯데,,,,,,,L,2001,05,22,40,0,1,0
40,32681,정규,2001-05-23,,@사직,KIA,,,W 4:3,롯데,,,,,,,W,2001,05,23,41,1,0,0
41,32682,정규,2001-05-24,,@사직,KIA,,,W 7:6,롯데,,,,,,,W,2001,05,24,42,1,0,0
42,33297,정규,2001-05-25,,@대구,KIA,,,L 6:7,삼성,,,,,,,L,2001,05,25,43,0,1,0
43,33298,정규,2001-05-26,,@대구,KIA,,,L 9:12,삼성,,,,,,,L,2001,05,26,44,0,1,0
44,33299,정규,2001-05-27,,@대구,KIA,,,L 2:3,삼성,,,,,,,L,2001,05,27,45,0,1,0
45,31745,정규,2001-05-29,,광주,KIA,,,L 5:6,LG,,,,,,,L,2001,05,29,46,0,1,0
46,31746,정규,2001-05-31,,광주,KIA,,,L 6:10,LG,,,,,,,L,2001,05,31,47,0,1,0
47,31747,정규,2001-05-31,,광주,KIA,,,D 3:3,LG,,,,,,,D,2001,05,31,48,0,0,1
48,32262,정규,2001-06-01,,@인천,KIA,,,W 4:3,SK,,,,,,,W,2001,06,01,49,1,0,0
49,32263,정규,2001-06-02,,@인천,KIA,,,W 7:6,SK,,,,,,,W,2001,06,02,50,1,0,0
50,32264,정규,2001-06-03,,@인천,KIA,,,L 4:5,SK,,,,,,,L,2001,06,03,51,0,1,0
51,33804,정규,2001-06-05,,광주,KIA,,,W 7:4,한화,,,,,,,W,2001,06,05,52,1,0,0
52,33805,정규,2001-06-06,,광주,KIA,,,L 6:7,한화,,,,,,,L,2001,06,06,53,0,1,0
53,33806,정규,2001-06-07,,광주,KIA,,,W 8:2,한화,,,,,,,W,2001,06,07,54,1,0,0
54,33918,정규,2001-06-08,,@수원,KIA,,,W 5:1,현대,,,,,,,W,2001,06,08,55,1,0,0
55,33919,정규,2001-06-09,,@수원,KIA,,,L 8:10,현대,,,,,,,L,2001,06,09,56,0,1,0
56,33920,정규,2001-06-10,,@수원,KIA,,,L 0:6,현대,,,,,,,L,2001,06,10,57,0,1,0
57,32307,정규,2001-06-12,,@잠실,KIA,,,W 8:4,두산,,,,,,,W,2001,06,12,58,1,0,0
58,32308,정규,2001-06-13,,@잠실,KIA,,,L 10:11,두산,,,,,,,L,2001,06,13,59,0,1,0
59,32309,정규,2001-06-14,,@잠실,KIA,,,W 6:5,두산,,,,,,,W,2001,06,14,60,1,0,0
60,33300,정규,2001-06-15,,광주,KIA,,,L 5:8,삼성,,,,,,,L,2001,06,15,61,0,1,0
61,33301,정규,2001-06-16,,광주,KIA,,,L 0:5,삼성,,,,,,,L,2001,06,16,62,0,1,0
62,33302,정규,2001-06-17,,광주,KIA,,,W 8:5,삼성,,,,,,,W,2001,06,17,63,1,0,0
63,31748,정규,2001-06-19,,@잠실,KIA,,,L 3:9,LG,,,,,,,L,2001,06,19,64,0,1,0
64,31749,정규,2001-06-21,,@잠실,KIA,,,L 1:3,LG,,,,,,,L,2001,06,21,65,0,1,0
65,31750,정규,2001-06-21,,@잠실,KIA,,,L 2:10,LG,,,,,,,L,2001,06,21,66,0,1,0
66,33807,정규,2001-06-22,,@대전,KIA,,,W 5:4,한화,,,,,,,W,2001,06,22,67,1,0,0
67,33808,정규,2001-06-23,,@대전,KIA,,,W 18:10,한화,,,,,,,W,2001,06,23,68,1,0,0
68,33809,정규,2001-06-25,,@대전,KIA,,,L 8:11,한화,,,,,,,L,2001,06,25,69,0,1,0
69,33921,정규,2001-06-27,,광주,KIA,,,D 1:1,현대,,,,,,,D,2001,06,27,70,0,0,1
70,33922,정규,2001-06-27,,광주,KIA,,,W 4:1,현대,,,,,,,W,2001,06,27,71,1,0,0
71,33923,정규,2001-06-28,,광주,KIA,,,L 1:4,현대,,,,,,,L,2001,06,28,72,0,1,0
72,33303,정규,2001-07-03,,@대구,KIA,,,L 3:6,삼성,,,,,,,L,2001,07,03,73,0,1,0
73,33304,정규,2001-07-04,,@대구,KIA,,,W 4:1,삼성,,,,,,,W,2001,07,04,74,1,0,0
74,32683,정규,2001-07-07,,광주,KIA,,,W 9:3,롯데,,,,,,,W,2001,07,07,75,1,0,0
75,32684,정규,2001-07-08,,광주,KIA,,,L 6:13,롯데,,,,,,,L,2001,07,08,76,0,1,0
76,32685,정규,2001-07-08,,광주,KIA,,,L 4:5,롯데,,,,,,,L,2001,07,08,77,0,1,0
77,32310,정규,2001-07-11,,@잠실,KIA,,,D 2:2,두산,,,,,,,D,2001,07,11,78,0,0,1
78,32311,정규,2001-07-11,,@잠실,KIA,,,W 6:1,두산,,,,,,,W,2001,07,11,79,1,0,0
79,32312,정규,2001-07-12,,@잠실,KIA,,,W 3:1,두산,,,,,,,W,2001,07,12,80,1,0,0
80,33810,정규,2001-07-13,,광주,KIA,,,L 2:8,한화,,,,,,,L,2001,07,13,81,0,1,0
81,33924,정규,2001-07-21,,광주,KIA,,,L 2:3,현대,,,,,,,L,2001,07,21,82,0,1,0
82,33925,정규,2001-07-22,,광주,KIA,,,L 1:2,현대,,,,,,,L,2001,07,22,83,0,1,0
83,32686,정규,2001-07-24,,@사직,KIA,,,L 4:7,롯데,,,,,,,L,2001,07,24,84,0,1,0
84,32687,정규,2001-07-25,,@사직,KIA,,,W 2:0,롯데,,,,,,,W,2001,07,25,85,1,0,0
85,32688,정규,2001-07-26,,@사직,KIA,,,D 7:7,롯데,,,,,,,D,2001,07,26,86,0,0,1
86,33305,정규,2001-07-28,,광주,KIA,,,L 7:8,삼성,,,,,,,L,2001,07,28,87,0,1,0
87,33306,정규,2001-07-29,,광주,KIA,,,L 6:8,삼성,,,,,,,L,2001,07,29,88,0,1,0
88,397,정규,2001-08-02,,@인천,KIA,,,L 2:6,SK,,,,,,,L,2001,08,02,89,0,1,0
89,1117,정규,2001-08-04,,@사직,KIA,,,L 0:2,롯데,,,,,,,L,2001,08,04,90,0,1,0
90,1118,정규,2001-08-05,,@사직,KIA,,,W 3:2,롯데,,,,,,,W,2001,08,05,91,1,0,0
91,398,정규,2001-08-07,,광주,KIA,,,W 7:4,SK,,,,,,,W,2001,08,07,92,1,0,0
