,Year,Team1,Team2,GameResult
0,1989,MBC,OB,20
1,1989,MBC,롯데,20
2,1989,MBC,빙그레,20
3,1989,MBC,삼성,20
4,1989,MBC,태평양,20
5,1989,MBC,해태,20
6,1989,OB,MBC,20
7,1989,OB,롯데,20
8,1989,OB,빙그레,20
9,1989,OB,삼성,20
10,1989,OB,태평양,20
11,1989,OB,해태,20
12,1989,롯데,MBC,20
13,1989,롯데,OB,20
14,1989,롯데,빙그레,20
15,1989,롯데,삼성,20
16,1989,롯데,태평양,20
17,1989,롯데,해태,20
18,1989,빙그레,MBC,20
19,1989,빙그레,OB,20
20,1989,빙그레,롯데,20
21,1989,빙그레,삼성,20
22,1989,빙그레,태평양,20
23,1989,빙그레,해태,20
24,1989,삼성,MBC,20
25,1989,삼성,OB,20
26,1989,삼성,롯데,20
27,1989,삼성,빙그레,20
28,1989,삼성,태평양,20
29,1989,삼성,해태,20
30,1989,태평양,MBC,20
31,1989,태평양,OB,20
32,1989,태평양,롯데,20
33,1989,태평양,빙그레,20
34,1989,태평양,삼성,20
35,1989,태평양,해태,20
36,1989,해태,MBC,20
37,1989,해태,OB,20
38,1989,해태,롯데,20
39,1989,해태,빙그레,20
40,1989,해태,삼성,20
41,1989,해태,태평양,20
42,1990,LG,OB,20
43,1990,LG,롯데,20
44,1990,LG,빙그레,20
45,1990,LG,삼성,20
46,1990,LG,태평양,20
47,1990,LG,해태,20
48,1990,OB,LG,20
49,1990,OB,롯데,20
50,1990,OB,빙그레,20
51,1990,OB,삼성,20
52,1990,OB,태평양,20
53,1990,OB,해태,20
54,1990,롯데,LG,20
55,1990,롯데,OB,20
56,1990,롯데,빙그레,20
57,1990,롯데,삼성,20
58,1990,롯데,태평양,20
59,1990,롯데,해태,20
60,1990,빙그레,LG,20
61,1990,빙그레,OB,20
62,1990,빙그레,롯데,20
63,1990,빙그레,삼성,20
64,1990,빙그레,태평양,20
65,1990,빙그레,해태,20
66,1990,삼성,LG,20
67,1990,삼성,OB,20
68,1990,삼성,롯데,20
69,1990,삼성,빙그레,20
70,1990,삼성,태평양,20
71,1990,삼성,해태,20
72,1990,태평양,LG,20
73,1990,태평양,OB,20
74,1990,태평양,롯데,20
75,1990,태평양,빙그레,20
76,1990,태평양,삼성,20
77,1990,태평양,해태,20
78,1990,해태,LG,20
79,1990,해태,OB,20
80,1990,해태,롯데,20
81,1990,해태,빙그레,20
82,1990,해태,삼성,20
83,1990,해태,태평양,20
84,1991,LG,OB,18
85,1991,LG,롯데,18
86,1991,LG,빙그레,18
87,1991,LG,삼성,18
88,1991,LG,쌍방울,18
89,1991,LG,태평양,18
90,1991,LG,해태,18
91,1991,OB,LG,18
92,1991,OB,롯데,18
93,1991,OB,빙그레,18
94,1991,OB,삼성,18
95,1991,OB,쌍방울,18
96,1991,OB,태평양,18
97,1991,OB,해태,18
98,1991,롯데,LG,18
99,1991,롯데,OB,18
100,1991,롯데,빙그레,18
101,1991,롯데,삼성,18
102,1991,롯데,쌍방울,18
103,1991,롯데,태평양,18
104,1991,롯데,해태,18
105,1991,빙그레,LG,18
106,1991,빙그레,OB,18
107,1991,빙그레,롯데,18
108,1991,빙그레,삼성,18
109,1991,빙그레,쌍방울,18
110,1991,빙그레,태평양,18
111,1991,빙그레,해태,18
112,1991,삼성,LG,18
113,1991,삼성,OB,18
114,1991,삼성,롯데,18
115,1991,삼성,빙그레,18
116,1991,삼성,쌍방울,18
117,1991,삼성,태평양,18
118,1991,삼성,해태,18
119,1991,쌍방울,LG,18
120,1991,쌍방울,OB,18
121,1991,쌍방울,롯데,18
122,1991,쌍방울,빙그레,18
123,1991,쌍방울,삼성,18
124,1991,쌍방울,태평양,18
125,1991,쌍방울,해태,18
126,1991,태평양,LG,18
127,1991,태평양,OB,18
128,1991,태평양,롯데,18
129,1991,태평양,빙그레,18
130,1991,태평양,삼성,18
131,1991,태평양,쌍방울,18
132,1991,태평양,해태,18
133,1991,해태,LG,18
134,1991,해태,OB,18
135,1991,해태,롯데,18
136,1991,해태,빙그레,18
137,1991,해태,삼성,18
138,1991,해태,쌍방울,18
139,1991,해태,태평양,18
140,1992,LG,OB,18
141,1992,LG,롯데,18
142,1992,LG,빙그레,18
143,1992,LG,삼성,18
144,1992,LG,쌍방울,18
145,1992,LG,태평양,18
146,1992,LG,해태,18
147,1992,OB,LG,18
148,1992,OB,롯데,18
149,1992,OB,빙그레,18
150,1992,OB,삼성,18
151,1992,OB,쌍방울,18
152,1992,OB,태평양,18
153,1992,OB,해태,18
154,1992,롯데,LG,18
155,1992,롯데,OB,18
156,1992,롯데,빙그레,18
157,1992,롯데,삼성,18
158,1992,롯데,쌍방울,18
159,1992,롯데,태평양,18
160,1992,롯데,해태,18
161,1992,빙그레,LG,18
162,1992,빙그레,OB,18
163,1992,빙그레,롯데,18
164,1992,빙그레,삼성,18
165,1992,빙그레,쌍방울,18
166,1992,빙그레,태평양,18
167,1992,빙그레,해태,18
168,1992,삼성,LG,18
169,1992,삼성,OB,18
170,1992,삼성,롯데,18
171,1992,삼성,빙그레,18
172,1992,삼성,쌍방울,18
173,1992,삼성,태평양,18
174,1992,삼성,해태,18
175,1992,쌍방울,LG,18
176,1992,쌍방울,OB,18
177,1992,쌍방울,롯데,18
178,1992,쌍방울,빙그레,18
179,1992,쌍방울,삼성,18
180,1992,쌍방울,태평양,18
181,1992,쌍방울,해태,18
182,1992,태평양,LG,18
183,1992,태평양,OB,18
184,1992,태평양,롯데,18
185,1992,태평양,빙그레,18
186,1992,태평양,삼성,18
187,1992,태평양,쌍방울,18
188,1992,태평양,해태,18
189,1992,해태,LG,18
190,1992,해태,OB,18
191,1992,해태,롯데,18
192,1992,해태,빙그레,18
193,1992,해태,삼성,18
194,1992,해태,쌍방울,18
195,1992,해태,태평양,18
196,1993,LG,OB,18
197,1993,LG,롯데,18
198,1993,LG,빙그레,18
199,1993,LG,삼성,18
200,1993,LG,쌍방울,18
201,1993,LG,태평양,18
202,1993,LG,해태,18
203,1993,OB,LG,18
204,1993,OB,롯데,18
205,1993,OB,빙그레,18
206,1993,OB,삼성,18
207,1993,OB,쌍방울,18
208,1993,OB,태평양,18
209,1993,OB,해태,18
210,1993,롯데,LG,18
211,1993,롯데,OB,18
212,1993,롯데,빙그레,18
213,1993,롯데,삼성,18
214,1993,롯데,쌍방울,18
215,1993,롯데,태평양,18
216,1993,롯데,해태,18
217,1993,빙그레,LG,18
218,1993,빙그레,OB,18
219,1993,빙그레,롯데,18
220,1993,빙그레,삼성,18
221,1993,빙그레,쌍방울,18
222,1993,빙그레,태평양,18
223,1993,빙그레,해태,18
224,1993,삼성,LG,18
225,1993,삼성,OB,18
226,1993,삼성,롯데,18
227,1993,삼성,빙그레,18
228,1993,삼성,쌍방울,18
229,1993,삼성,태평양,18
230,1993,삼성,해태,18
231,1993,쌍방울,LG,18
232,1993,쌍방울,OB,18
233,1993,쌍방울,롯데,18
234,1993,쌍방울,빙그레,18
235,1993,쌍방울,삼성,18
236,1993,쌍방울,태평양,18
237,1993,쌍방울,해태,18
238,1993,태평양,LG,18
239,1993,태평양,OB,18
240,1993,태평양,롯데,18
241,1993,태평양,빙그레,18
242,1993,태평양,삼성,18
243,1993,태평양,쌍방울,18
244,1993,태평양,해태,18
245,1993,해태,LG,18
246,1993,해태,OB,18
247,1993,해태,롯데,18
248,1993,해태,빙그레,18
249,1993,해태,삼성,18
250,1993,해태,쌍방울,18
251,1993,해태,태평양,18
252,1994,LG,OB,18
253,1994,LG,롯데,18
254,1994,LG,삼성,18
255,1994,LG,쌍방울,18
256,1994,LG,태평양,18
257,1994,LG,한화,18
258,1994,LG,해태,18
259,1994,OB,LG,18
260,1994,OB,롯데,18
261,1994,OB,삼성,18
262,1994,OB,쌍방울,18
