,Year,Date,Team1,Team2,Result,GameResult
0,1989,1989-04-08,MBC,OB,W 5:1,1
1,1989,1989-04-08,OB,MBC,L 1:5,1
2,1989,1989-04-08,롯데,삼성,W 5:4,1
3,1989,1989-04-08,빙그레,해태,L 0:6,1
4,1989,1989-04-08,삼성,롯데,L 4:5,1
5,1989,1989-04-08,해태,빙그레,W 6:0,1
6,1989,1989-04-09,MBC,OB,W 3:1,1
7,1989,1989-04-09,OB,MBC,L 1:3,1
8,1989,1989-04-09,롯데,삼성,L 2:8,1
9,1989,1989-04-09,빙그레,해태,W 4:2,1
10,1989,1989-04-09,삼성,롯데,W 8:2,1
11,1989,1989-04-09,해태,빙그레,L 2:4,1
12,1989,1989-04-11,MBC,태평양,L 3:4,1
13,1989,1989-04-11,OB,삼성,L 1:2,1
14,1989,1989-04-11,롯데,빙그레,W 10:2,1
15,1989,1989-04-11,빙그레,롯데,L 2:10,1
16,1989,1989-04-11,삼성,OB,W 2:1,1
17,1989,1989-04-11,태평양,MBC,W 4:3,1
18,1989,1989-04-12,MBC,태평양,W 10:9,1
19,1989,1989-04-12,OB,삼성,L 3:8,1
20,1989,1989-04-12,롯데,빙그레,L 0:6,1
21,1989,1989-04-12,빙그레,롯데,W 6:0,1
22,1989,1989-04-12,삼성,OB,W 8:3,1
23,1989,1989-04-12,태평양,MBC,L 9:10,1
24,1989,1989-04-13,OB,롯데,W 6:1,1
25,1989,1989-04-13,롯데,OB,L 1:6,1
26,1989,1989-04-13,빙그레,태평양,L 1:3,1
27,1989,1989-04-13,삼성,해태,L 4:13,1
28,1989,1989-04-13,태평양,빙그레,W 3:1,1
29,1989,1989-04-13,해태,삼성,W 13:4,1
30,1989,1989-04-14,OB,롯데,L 1:2,1
31,1989,1989-04-14,롯데,OB,W 2:1,1
32,1989,1989-04-14,빙그레,태평양,L 1:5,1
33,1989,1989-04-14,태평양,빙그레,W 5:1,1
34,1989,1989-04-15,MBC,삼성,L 4:21,1
35,1989,1989-04-15,OB,해태,L 1:6,1
36,1989,1989-04-15,롯데,태평양,L 6:7,1
37,1989,1989-04-15,삼성,MBC,W 21:4,1
38,1989,1989-04-15,태평양,롯데,W 7:6,1
39,1989,1989-04-15,해태,OB,W 6:1,1
40,1989,1989-04-16,OB,해태,L 2:3,1
41,1989,1989-04-16,롯데,태평양,W 7:4,1
42,1989,1989-04-16,태평양,롯데,L 4:7,1
43,1989,1989-04-16,해태,OB,W 3:2,1
44,1989,1989-04-17,MBC,삼성,W 5:3,1
45,1989,1989-04-17,삼성,MBC,L 3:5,1
46,1989,1989-04-18,MBC,롯데,L 8:10,1
47,1989,1989-04-18,롯데,MBC,W 10:8,1
48,1989,1989-04-18,빙그레,삼성,D 5:5,1
49,1989,1989-04-18,삼성,빙그레,D 5:5,1
50,1989,1989-04-18,태평양,해태,L 2:4,1
51,1989,1989-04-18,해태,태평양,W 4:2,1
52,1989,1989-04-19,MBC,롯데,W 13:3,1
53,1989,1989-04-19,롯데,MBC,L 3:13,1
54,1989,1989-04-19,빙그레,삼성,W 6:3,1
55,1989,1989-04-19,삼성,빙그레,L 3:6,1
56,1989,1989-04-19,태평양,해태,W 4:1,1
57,1989,1989-04-19,해태,태평양,L 1:4,1
58,1989,1989-04-20,MBC,태평양,L 1:10,1
59,1989,1989-04-20,OB,빙그레,L 2:7,1
60,1989,1989-04-20,빙그레,OB,W 7:2,1
61,1989,1989-04-20,삼성,해태,L 7:20,1
62,1989,1989-04-20,태평양,MBC,W 10:1,1
63,1989,1989-04-20,해태,삼성,W 20:7,1
64,1989,1989-04-21,MBC,태평양,D 6:6,1
65,1989,1989-04-21,OB,빙그레,L 1:3,1
66,1989,1989-04-21,빙그레,OB,W 3:1,1
67,1989,1989-04-21,삼성,해태,W 6:2,1
68,1989,1989-04-21,태평양,MBC,D 6:6,1
69,1989,1989-04-21,해태,삼성,L 2:6,1
70,1989,1989-04-22,MBC,OB,L 3:8,1
71,1989,1989-04-22,OB,MBC,W 8:3,1
72,1989,1989-04-22,롯데,해태,W 4:2,1
73,1989,1989-04-22,빙그레,태평양,W 9:2,1
74,1989,1989-04-22,태평양,빙그레,L 2:9,1
75,1989,1989-04-22,해태,롯데,L 2:4,1
76,1989,1989-04-23,MBC,OB,L 2:9,1
77,1989,1989-04-23,OB,MBC,W 9:2,1
78,1989,1989-04-23,롯데,해태,W 7:3,1
79,1989,1989-04-23,빙그레,태평양,L 6:14,1
80,1989,1989-04-23,태평양,빙그레,W 14:6,1
81,1989,1989-04-23,해태,롯데,L 3:7,1
82,1989,1989-04-25,MBC,삼성,L 4:5,1
83,1989,1989-04-25,OB,해태,W 3:1,1
84,1989,1989-04-25,롯데,빙그레,L 0:8,1
85,1989,1989-04-25,빙그레,롯데,W 8:0,1
86,1989,1989-04-25,삼성,MBC,W 5:4,1
87,1989,1989-04-25,해태,OB,L 1:3,1
88,1989,1989-04-26,MBC,삼성,L 4:8,1
89,1989,1989-04-26,OB,해태,L 1:6,1
90,1989,1989-04-26,롯데,빙그레,W 8:7,1
91,1989,1989-04-26,빙그레,롯데,L 7:8,1
92,1989,1989-04-26,삼성,MBC,W 8:4,1
93,1989,1989-04-26,해태,OB,W 6:1,1
94,1989,1989-04-27,MBC,빙그레,L 5:7,1
95,1989,1989-04-27,OB,태평양,W 9:2,1
96,1989,1989-04-27,롯데,삼성,L 0:4,1
97,1989,1989-04-27,빙그레,MBC,W 7:5,1
98,1989,1989-04-27,삼성,롯데,W 4:0,1
99,1989,1989-04-27,태평양,OB,L 2:9,1
100,1989,1989-04-28,MBC,빙그레,L 5:6,1
101,1989,1989-04-28,OB,태평양,L 2:3,1
102,1989,1989-04-28,롯데,삼성,L 2:4,1
103,1989,1989-04-28,빙그레,MBC,W 6:5,1
104,1989,1989-04-28,삼성,롯데,W 4:2,1
105,1989,1989-04-28,태평양,OB,W 3:2,1
106,1989,1989-04-29,MBC,롯데,W 5:3,1
107,1989,1989-04-29,OB,빙그레,L 3:7,1
108,1989,1989-04-29,롯데,MBC,L 3:5,1
109,1989,1989-04-29,빙그레,OB,W 7:3,1
110,1989,1989-04-29,태평양,해태,L 0:4,1
111,1989,1989-04-29,해태,태평양,W 4:0,1
112,1989,1989-04-30,MBC,롯데,L 5:10,1
113,1989,1989-04-30,OB,빙그레,L 7:8,1
114,1989,1989-04-30,롯데,MBC,W 10:5,1
115,1989,1989-04-30,빙그레,OB,W 8:7,1
116,1989,1989-04-30,태평양,해태,L 3:5,1
117,1989,1989-04-30,해태,태평양,W 5:3,1
118,1989,1989-05-02,MBC,해태,L 2:11,1
119,1989,1989-05-02,롯데,빙그레,D 0:0,1
120,1989,1989-05-02,빙그레,롯데,D 0:0,1
121,1989,1989-05-02,삼성,태평양,W 3:2,1
122,1989,1989-05-02,태평양,삼성,L 2:3,1
123,1989,1989-05-02,해태,MBC,W 11:2,1
124,1989,1989-05-03,MBC,해태,L 3:6,1
125,1989,1989-05-03,롯데,빙그레,L 1:4,1
126,1989,1989-05-03,빙그레,롯데,W 4:1,1
127,1989,1989-05-03,삼성,태평양,W 10:3,1
128,1989,1989-05-03,태평양,삼성,L 3:10,1
129,1989,1989-05-03,해태,MBC,W 6:3,1
130,1989,1989-05-04,MBC,태평양,W 4:3,1
131,1989,1989-05-04,OB,해태,W 1:0,1
132,1989,1989-05-04,빙그레,삼성,L 1:7,1
133,1989,1989-05-04,삼성,빙그레,W 7:1,1
134,1989,1989-05-04,태평양,MBC,L 3:4,1
135,1989,1989-05-04,해태,OB,L 0:1,1
136,1989,1989-05-05,MBC,태평양,L 1:7,1
137,1989,1989-05-05,OB,해태,L 3:5,1
138,1989,1989-05-05,빙그레,삼성,W 8:5,1
139,1989,1989-05-05,삼성,빙그레,L 5:8,1
140,1989,1989-05-05,태평양,MBC,W 7:1,1
141,1989,1989-05-05,해태,OB,W 5:3,1
142,1989,1989-05-06,MBC,OB,L 4:9,1
143,1989,1989-05-06,OB,MBC,W 9:4,1
144,1989,1989-05-06,롯데,태평양,L 4:7,1
145,1989,1989-05-06,태평양,롯데,W 7:4,1
146,1989,1989-05-07,MBC,OB,W 6:4,1
147,1989,1989-05-07,OB,MBC,L 4:6,1
148,1989,1989-05-07,롯데,태평양,L 0:2,1
149,1989,1989-05-07,삼성,해태,W 6:5,1
150,1989,1989-05-07,태평양,롯데,W 2:0,1
151,1989,1989-05-07,해태,삼성,L 5:6,1
152,1989,1989-05-08,삼성,해태,L 4:8,1
153,1989,1989-05-08,해태,삼성,W 8:4,1
154,1989,1989-05-09,OB,롯데,W 9:4,1
155,1989,1989-05-09,롯데,OB,L 4:9,1
156,1989,1989-05-09,빙그레,해태,W 7:3,1
157,1989,1989-05-09,해태,빙그레,L 3:7,1
158,1989,1989-05-10,OB,롯데,W 3:0,1
159,1989,1989-05-10,롯데,OB,L 0:3,1
160,1989,1989-05-10,삼성,태평양,L 2:3,1
161,1989,1989-05-10,태평양,삼성,W 3:2,1
162,1989,1989-05-11,MBC,해태,W 8:5,1
163,1989,1989-05-11,해태,MBC,L 5:8,1
164,1989,1989-05-12,MBC,해태,W 13:7,1
165,1989,1989-05-12,OB,태평양,L 0:2,1
166,1989,1989-05-12,롯데,빙그레,W 4:3,1
167,1989,1989-05-12,빙그레,롯데,L 3:4,1
168,1989,1989-05-12,태평양,OB,W 2:0,1
169,1989,1989-05-12,해태,MBC,L 7:13,1
170,1989,1989-05-13,MBC,삼성,W 9:6,1
171,1989,1989-05-13,OB,빙그레,L 4:9,1
172,1989,1989-05-13,빙그레,OB,W 9:4,1
173,1989,1989-05-13,삼성,MBC,L 6:9,1
174,1989,1989-05-14,MBC,삼성,L 3:4,1
175,1989,1989-05-14,OB,빙그레,L 1:4,1
176,1989,1989-05-14,빙그레,OB,W 4:1,1
177,1989,1989-05-14,삼성,MBC,W 4:3,1
178,1989,1989-05-15,롯데,해태,L 1:3,1
179,1989,1989-05-15,해태,롯데,W 3:1,1
180,1989,1989-05-16,MBC,태평양,L 0:3,1
181,1989,1989-05-16,OB,롯데,W 5:1,1
182,1989,1989-05-16,롯데,OB,L 1:5,1
183,1989,1989-05-16,빙그레,삼성,W 5:3,1
184,1989,1989-05-16,삼성,빙그레,L 3:5,1
185,1989,1989-05-16,태평양,MBC,W 3:0,1
186,1989,1989-05-17,MBC,태평양,W 3:2,1
187,1989,1989-05-17,OB,롯데,L 1:2,1
188,1989,1989-05-17,롯데,OB,W 2:1,1
189,1989,1989-05-17,빙그레,삼성,L 1:7,1
190,1989,1989-05-17,삼성,빙그레,W 7:1,1
191,1989,1989-05-17,태평양,MBC,L 2:3,1
192,1989,1989-05-18,MBC,OB,W 9:7,1
193,1989,1989-05-18,OB,MBC,L 7:9,1
194,1989,1989-05-18,롯데,삼성,L 4:5,1
195,1989,1989-05-18,삼성,롯데,W 5:4,1
196,1989,1989-05-18,태평양,해태,L 2:3,1
197,1989,1989-05-18,해태,태평양,W 3:2,1
198,1989,1989-05-19,MBC,OB,D 7:7,1
199,1989,1989-05-19,OB,MBC,D 7:7,1
200,1989,1989-05-19,롯데,삼성,L 0:1,1
201,1989,1989-05-19,삼성,롯데,W 1:0,1
202,1989,1989-05-19,태평양,해태,D 3:3,1
203,1989,1989-05-19,해태,태평양,D 3:3,1
204,1989,1989-05-20,MBC,해태,W 8:5,1
205,1989,1989-05-20,OB,빙그레,W 6:5,1
206,1989,1989-05-20,빙그레,OB,L 5:6,1
207,1989,1989-05-20,삼성,태평양,W 10:3,1
208,1989,1989-05-20,태평양,삼성,L 3:10,1
209,1989,1989-05-20,해태,MBC,L 5:8,1
210,1989,1989-05-21,MBC,해태,W 8:4,1
211,1989,1989-05-21,OB,빙그레,L 4:6,1
212,1989,1989-05-21,빙그레,OB,W 6:4,1
213,1989,1989-05-21,삼성,태평양,L 0:4,1
214,1989,1989-05-21,태평양,삼성,W 4:0,1
215,1989,1989-05-21,해태,MBC,L 4:8,1
216,1989,1989-05-23,OB,삼성,L 0:11,1
217,1989,1989-05-23,롯데,태평양,W 3:0,1
218,1989,1989-05-23,빙그레,해태,L 3:6,1
219,1989,1989-05-23,삼성,OB,W 11:0,1
220,1989,1989-05-23,태평양,롯데,L 0:3,1
221,1989,1989-05-23,해태,빙그레,W 6:3,1
222,1989,1989-05-24,OB,삼성,W 9:2,1
223,1989,1989-05-24,롯데,태평양,L 6:9,1
224,1989,1989-05-24,빙그레,해태,W 4:2,1
225,1989,1989-05-24,삼성,OB,L 2:9,1
226,1989,1989-05-24,태평양,롯데,W 9:6,1
227,1989,1989-05-24,해태,빙그레,L 2:4,1
228,1989,1989-05-25,MBC,롯데,W 8:4,1
229,1989,1989-05-25,롯데,MBC,L 4:8,1
230,1989,1989-05-25,빙그레,태평양,W 6:4,1
231,1989,1989-05-25,태평양,빙그레,L 4:6,1
232,1989,1989-05-26,MBC,롯데,W 7:4,1
233,1989,1989-05-26,롯데,MBC,L 4:7,1
234,1989,1989-05-26,빙그레,태평양,L 1:3,1
235,1989,1989-05-26,삼성,해태,L 0:2,1
