,Season,Date,Time,Stadium,Team1,Team1_Pitcher,T,Result,Team2,Team2_Pitcher,T2,Win_Pit,Lose_Pit,Save,Audience
0,시즌,날짜,시간,구장,팀,팀 선발,T,결과,상대팀,상대선발,T,승리투수,패전투수,세이브,관중
1,정규,2015-04-03,,@수원,KIA,양현종,L,W 5:0,kt,어윈,R,양현종,어윈,,"6,296"
2,정규,2015-04-04,,@수원,KIA,험버,R,W 10:2,kt,시스코,L,험버,시스코,,"17,563"
3,정규,2015-04-05,,@수원,KIA,문경찬,R,W 4:1,kt,옥스프링,R,문경찬,옥스프링,윤석민,"14,028"
4,정규,2015-05-12,,광주,KIA,양현종,L,W 3:2,kt,옥스프링,R,박준표,옥스프링,윤석민,"6,770"
5,정규,2015-05-13,,광주,KIA,스틴슨,R,W 9:8,kt,엄상백,RU,홍건희,장시환,,"8,340"
6,정규,2015-05-14,,광주,KIA,임준혁,R,W 10:2,kt,어윈,R,임준혁,어윈,,"10,521"
7,정규,2015-06-19,,광주,KIA,김진우,R,W 7:3,kt,엄상백,RU,최영필,엄상백,,"6,236"
8,정규,2015-06-20,,광주,KIA,,,우천,kt,,,,,,
9,정규,2015-06-21,,광주,KIA,양현종,L,W 7:0,kt,주권,R,양현종,주권,,"11,933"
10,정규,2015-07-03,,@수원,KIA,스틴슨,R,L 3:10,kt,엄상백,RU,조무근,스틴슨,,"11,207"
11,정규,2015-07-04,,@수원,KIA,양현종,L,L 3:12,kt,주권,R,장시환,양현종,,"20,000"
12,정규,2015-07-05,,@수원,KIA,서재응,R,L 2:9,kt,옥스프링,R,옥스프링,서재응,,"12,819"
13,정규,2015-08-06,,광주,KIA,에반,R,L 2:7,kt,엄상백,RU,고영표,김광수,,"10,125"
14,정규,2015-08-07,,광주,KIA,스틴슨,R,W 6:5,kt,옥스프링,R,최영필,홍성용,,"11,156"
15,정규,2015-08-27,,@수원,KIA,박정수,R,L 3:5,kt,옥스프링,R,옥스프링,박정수,장시환,"10,605"
16,정규,2015-08-28,,@수원,KIA,양현종,L,L 0:10,kt,엄상백,RU,엄상백,김광수,,"11,901"
17,정규,2015-09-17,,광주,KIA,임준혁,R,L 1:3,kt,엄상백,RU,엄상백,임준혁,조무근,"4,162"
18,정규,2016-04-08,,@케이티위즈파크,KIA,양현종,,L 0:4,kt,마리몬,,마리몬,양현종,,"6,856"
19,정규,2016-04-09,,@케이티위즈파크,KIA,헥터,,W 6:3,kt,정대현,,헥터,배우열,최영필,"16,762"
20,정규,2016-04-10,,@케이티위즈파크,KIA,윤석민,,L 6:9,kt,피노,,피노,윤석민,장시환,"16,099"
21,정규,2016-05-10,,챔피언스필드,KIA,지크,,우천,kt,밴와트,,,,,
22,정규,2016-05-11,,챔피언스필드,KIA,지크,,W 8:3,kt,밴와트,,지크,밴와트,,"7,122"
23,정규,2016-05-12,,챔피언스필드,KIA,한기주,,W 10:6,kt,정대현,,박준표,장시환,,"7,353"
24,정규,2016-07-05,,@케이티위즈파크,KIA,양현종,,우천,kt,피노,,,,,
25,정규,2016-07-06,,@케이티위즈파크,KIA,양현종,,W 7:0,kt,주권,,양현종,주권,,"6,128"
26,정규,2016-07-07,,@케이티위즈파크,KIA,헥터,,W 5:2,kt,장시환,,헥터,장시환,임창용,"7,051"
27,정규,2016-07-26,,챔피언스필드,KIA,헥터,,W 13:0,kt,밴와트,,헥터,밴와트,,"5,983"
28,정규,2016-07-27,,챔피언스필드,KIA,지크,,W 8:3,kt,박세진,,최영필,심재민,,"6,456"
29,정규,2016-07-28,,챔피언스필드,KIA,홍건희,,W 9:3,kt,주권,,한기주,주권,,"7,446"
30,정규,2016-08-16,,챔피언스필드,KIA,홍건희,,L 4:7,kt,주권,,고영표,홍건희,,"7,171"
31,정규,2016-08-17,,챔피언스필드,KIA,양현종,,우천,kt,로위,,,,,
32,정규,2016-09-10,,@케이티위즈파크,KIA,양현종,,L 6:9,kt,피어밴드,,김재윤,심동섭,,"20,000"
33,정규,2016-09-11,,@케이티위즈파크,KIA,헥터,,W 4:2,kt,정대현,,헥터,정대현,임창용,"19,510"
34,정규,2016-09-25,,@케이티위즈파크,KIA,지크,,L 7:8,kt,정대현,,정대현,지크,김재윤,"20,000"
35,정규,2016-10-01,,챔피언스필드,KIA,헥터,,우천,kt,주권,,,,,
36,정규,2016-10-02,,챔피언스필드,KIA,헥터,,W 3:1,kt,주권,,헥터,주권,,"12,235"
37,정규,2016-10-03,,챔피언스필드,KIA,양현종,,W 9:6,kt,정대현,,양현종,정대현,임창용,"10,134"
38,시즌,날짜,시간,구장,팀,팀 선발,T,결과,상대팀,상대선발,T,승리투수,패전투수,세이브,관중
39,와일드카드결정전,2016-10-10,,@잠실,KIA,헥터,,W 4:2,LG,허프,,헥터,허프,임창용,"25,000"
40,와일드카드결정전,2016-10-11,,@잠실,KIA,양현종,,L 0:1,LG,류제국,,임정우,임창용,,"25,000"
