rank,game_idx,win_diff,probability
1,4,-7,1.0
1,4,-6,1.0
1,4,-5,1.0
1,4,-4,1.0
1,4,-3,1.0
1,4,-2,1.0
1,4,-1,0.6666666666666666
1,4,0,0.6666666666666666
1,4,1,0.3333333333333333
1,4,2,0.0
1,4,3,0.0
1,4,4,0.0
1,4,5,0.0
1,4,6,0.0
1,4,7,0.0
1,5,-7,1.0
1,5,-6,1.0
1,5,-5,0.8571428571428571
1,5,-4,0.8571428571428571
1,5,-3,0.8571428571428571
1,5,-2,0.7142857142857143
1,5,-1,0.42857142857142855
1,5,0,0.42857142857142855
1,5,1,0.2857142857142857
1,5,2,0.14285714285714285
1,5,3,0.0
1,5,4,0.0
1,5,5,0.0
1,5,6,0.0
1,5,7,0.0
1,6,-7,1.0
1,6,-6,1.0
1,6,-5,0.8571428571428571
1,6,-4,0.8571428571428571
1,6,-3,0.7142857142857143
1,6,-2,0.7142857142857143
1,6,-1,0.42857142857142855
1,6,0,0.42857142857142855
1,6,1,0.2857142857142857
1,6,2,0.2857142857142857
1,6,3,0.0
1,6,4,0.0
1,6,5,0.0
1,6,6,0.0
1,6,7,0.0
1,7,-7,1.0
1,7,-6,1.0
1,7,-5,1.0
1,7,-4,1.0
1,7,-3,0.8571428571428571
1,7,-2,0.8571428571428571
1,7,-1,0.8571428571428571
1,7,0,0.8571428571428571
1,7,1,0.5714285714285714
1,7,2,0.42857142857142855
1,7,3,0.2857142857142857
1,7,4,0.14285714285714285
1,7,5,0.14285714285714285
1,7,6,0.14285714285714285
1,7,7,0.0
1,8,-7,1.0
1,8,-6,1.0
1,8,-5,1.0
1,8,-4,1.0
1,8,-3,0.9166666666666666
1,8,-2,0.9166666666666666
1,8,-1,0.8333333333333334
1,8,0,0.5833333333333334
1,8,1,0.4166666666666667
1,8,2,0.3333333333333333
1,8,3,0.16666666666666666
1,8,4,0.08333333333333333
1,8,5,0.0
1,8,6,0.0
1,8,7,0.0
1,9,-7,1.0
1,9,-6,1.0
1,9,-5,1.0
1,9,-4,1.0
1,9,-3,1.0
1,9,-2,0.9
1,9,-1,0.7
1,9,0,0.7
1,9,1,0.5
1,9,2,0.4
1,9,3,0.3
1,9,4,0.1
1,9,5,0.0
1,9,6,0.0
1,9,7,0.0
1,10,-7,1.0
1,10,-6,1.0
1,10,-5,1.0
1,10,-4,1.0
1,10,-3,1.0
1,10,-2,0.8461538461538461
1,10,-1,0.6923076923076923
1,10,0,0.6153846153846154
1,10,1,0.46153846153846156
1,10,2,0.3076923076923077
1,10,3,0.3076923076923077
1,10,4,0.23076923076923078
1,10,5,0.07692307692307693
1,10,6,0.07692307692307693
1,10,7,0.0
1,11,-7,1.0
1,11,-6,1.0
1,11,-5,1.0
1,11,-4,0.9166666666666666
1,11,-3,0.8333333333333334
1,11,-2,0.8333333333333334
1,11,-1,0.75
1,11,0,0.6666666666666666
1,11,1,0.4166666666666667
1,11,2,0.4166666666666667
1,11,3,0.25
1,11,4,0.16666666666666666
1,11,5,0.0
1,11,6,0.0
1,11,7,0.0
1,12,-7,1.0
1,12,-6,1.0
1,12,-5,0.8888888888888888
1,12,-4,0.8888888888888888
1,12,-3,0.8888888888888888
1,12,-2,0.8888888888888888
1,12,-1,0.7777777777777778
1,12,0,0.6111111111111112
1,12,1,0.4444444444444444
1,12,2,0.3333333333333333
1,12,3,0.1111111111111111
1,12,4,0.05555555555555555
1,12,5,0.0
1,12,6,0.0
1,12,7,0.0
1,13,-7,1.0
1,13,-6,1.0
1,13,-5,1.0
1,13,-4,0.9333333333333333
1,13,-3,0.9333333333333333
1,13,-2,0.9333333333333333
1,13,-1,0.8666666666666667
1,13,0,0.8666666666666667
1,13,1,0.7333333333333333
1,13,2,0.3333333333333333
1,13,3,0.2
1,13,4,0.13333333333333333
1,13,5,0.06666666666666667
1,13,6,0.0
1,13,7,0.0
1,14,-7,1.0
1,14,-6,1.0
1,14,-5,1.0
1,14,-4,1.0
1,14,-3,1.0
1,14,-2,1.0
1,14,-1,0.8823529411764706
1,14,0,0.6470588235294118
1,14,1,0.5294117647058824
1,14,2,0.35294117647058826
1,14,3,0.29411764705882354
1,14,4,0.0
1,14,5,0.0
1,14,6,0.0
1,14,7,0.0
1,15,-7,1.0
1,15,-6,1.0
1,15,-5,0.95
1,15,-4,0.95
1,15,-3,0.95
1,15,-2,0.9
1,15,-1,0.8
1,15,0,0.65
1,15,1,0.4
1,15,2,0.35
1,15,3,0.15
1,15,4,0.0
1,15,5,0.0
1,15,6,0.0
1,15,7,0.0
1,16,-7,1.0
1,16,-6,1.0
1,16,-5,0.9411764705882353
1,16,-4,0.8823529411764706
1,16,-3,0.8823529411764706
1,16,-2,0.8823529411764706
1,16,-1,0.6470588235294118
1,16,0,0.5882352941176471
1,16,1,0.5294117647058824
1,16,2,0.29411764705882354
1,16,3,0.11764705882352941
1,16,4,0.058823529411764705
1,16,5,0.0
1,16,6,0.0
1,16,7,0.0
1,17,-7,1.0
