Team1_x,KIA,LG,NC,SK,kt,넥센,두산,롯데,삼성,한화
KIA,0.0,1.0,-3.0,-4.0,8.0,-4.0,-6.0,0.0,-7.0,-2.0
LG,-1.0,0.0,-4.0,-5.0,7.0,-5.0,-7.0,-1.0,-8.0,-3.0
NC,3.0,4.0,0.0,-1.0,11.0,-1.0,-3.0,3.0,-4.0,1.0
SK,4.0,5.0,1.0,0.0,12.0,0.0,-2.0,4.0,-3.0,2.0
kt,-8.0,-7.0,-11.0,-12.0,0.0,-12.0,-14.0,-8.0,-15.0,-10.0
넥센,4.0,5.0,1.0,0.0,12.0,0.0,-2.0,4.0,-3.0,2.0
두산,6.0,7.0,3.0,2.0,14.0,2.0,0.0,6.0,-1.0,4.0
롯데,0.0,1.0,-3.0,-4.0,8.0,-4.0,-6.0,0.0,-7.0,-2.0
삼성,7.0,8.0,4.0,3.0,15.0,3.0,1.0,7.0,0.0,5.0
한화,2.0,3.0,-1.0,-2.0,10.0,-2.0,-4.0,2.0,-5.0,0.0
